PROBE ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,SYMBOL,GENENAME,ENTREZID,threshold
3135567,1.40381169641406,5.81130565627749,6.57882329253239,2.34892497063399e-08,4.32766533416067e-07,8.85759424314157,LYPLA1,lysophospholipase 1,10434,Up
3141857,1.64221854174432,8.91180131357839,6.83923153278123,9.04345888864953e-09,1.94011280310005e-07,9.79649764358939,TPD52,tumor protein D52,7163,Up
3145107,2.11408743854851,5.96375787346748,10.3683201574195,3.03407506894642e-14,4.48208230487111e-12,22.2277962188669,CCNE2,cyclin E2,9134,Up
3146433,1.55034611712389,9.7691231697968,5.9590228563913,2.25409749421664e-07,3.10481476503145e-06,6.63754652595079,COX6C,cytochrome c oxidase subunit 6C,1345,Up
3146898,1.04746115595675,8.30632702412131,7.55456841552181,6.57717888565753e-10,2.10728216087639e-08,12.3784846225089,YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta,7534,Up
3149843,1.06181248796455,8.75767525470978,8.13875867025111,7.83802737164033e-11,3.50987457155259e-09,14.4766090469851,RAD21,RAD21 cohesin complex component,5885,Up
3151534,1.46730257863894,6.97034999737366,6.33258251735785,5.78237171026518e-08,9.50528631177348e-07,7.97237518514318,ATAD2,ATPase family AAA domain containing 2,29028,Up
3153298,1.03087803147623,5.16348682299565,3.96671771189228,0.000224613588819219,0.00116493159837413,-0.063335713,GSDMC,gasdermin C,56169,Up
3157660,1.35469241782476,8.86008151733638,8.56211994681605,1.70060230298019e-11,9.42870460727883e-10,15.9844214777006,GFUS,GDP-L-fucose synthase,7264,Up
3168508,1.53201640143958,5.04661351457663,8.50202158495682,2.11077515003028e-11,1.13337298576889e-09,15.7711864734503,MELK,maternal embryonic leucine zipper kinase,9833,Up
3173479,1.22654434445236,6.36639046609094,4.50677208342256,3.77904289907225e-05,0.000249941446068147,1.6491018276699,FOXD4L3,forkhead box D4 like 3,286380,Up
3176999,1.03834865944439,6.06460684856816,9.76047459870106,2.45476324677513e-13,2.66166472043189e-11,20.1663606428617,RMI1,RecQ mediated genome instability 1,80010,Up
3178583,2.55649029312031,7.36493982036053,10.0565454751955,8.81887643422208e-14,1.11558786892909e-11,21.175949903703,CKS2,CDC28 protein kinase regulatory subunit 2,1164,Up
3179359,1.15458430060411,7.30005867884894,5.75052503765635,4.79368655564166e-07,5.89462764113009e-06,5.89854536522604,CENPP,centromere protein P,401541,Up
3214845,1.02143711714618,8.63332669096009,2.67769878563765,0.00990402194335563,0.0288700075480335,-3.608799553,ASPN,asporin,54829,Up
3234277,1.44019528083691,9.95935385062463,5.29724762731919,2.42960864805272e-06,2.38103811007518e-05,4.31294129338012,GATA3,GATA binding protein 3,2625,Up
3240452,1.17209968642883,7.95093085961174,3.49832277495213,0.000970003600235687,0.00405984963772347,-1.452705562,BAMBI,BMP and activin membrane bound inhibitor,25805,Up
3243846,1.04702483678396,6.95207379024961,4.42392152672661,4.9958442852794e-05,0.000316864964548527,1.3797918229387,RET,ret proto-oncogene,5979,Up
3248289,2.27848444409067,5.25742426005927,9.63867867957539,3.75104184526687e-13,3.78971731919151e-11,19.7481156747057,CDK1,cyclin dependent kinase 1,983,Up
3252036,1.03389775835844,8.5821940416808,5.09287642848052,5.00002778738269e-06,4.41812973215899e-05,3.60997461051179,PLAU,"plasminogen activator, urokinase",5328,Up
3258168,1.81561619579868,4.98339777337874,9.9373666607178,1.33001030407765e-13,1.59971895098652e-11,20.7707865191432,KIF11,kinesin family member 11,3832,Up
3258444,1.71906038412598,5.24432434596464,9.01762123091275,3.34027209324946e-12,2.4363324047029e-10,17.5905942549959,CEP55,centrosomal protein 55,55165,Up
3258910,1.24376248609649,5.52147178788828,7.3071691056914,1.62643729046197e-09,4.59557268297284e-08,11.4860847965188,HELLS,"helicase, lymphoid specific",3070,Up
3290210,1.21198797614785,6.30079822888456,9.55290272704128,5.06128806247529e-13,4.92938104173202e-11,19.4525682720916,ZWINT,ZW10 interacting kinetochore protein,11130,Up
3292413,1.15872452671927,7.17250127051667,4.22024458507043,9.83965055943689e-05,0.000571754351805083,0.727458409620204,DNAJC12,DnaJ heat shock protein family (Hsp40) member C12,56521,Up
3299469,1.26660727459272,5.5507188906303,6.87362556205186,7.97177275053047e-09,1.74767619533791e-07,9.92063660938241,ANKRD22,ankyrin repeat domain 22,118932,Up
3312490,2.1439613576716,6.675671621,9.78148549072919,2.2820015713494e-13,2.49896201925232e-11,20.238341759342,MKI67,marker of proliferation Ki-67,4288,Up
3320717,1.00610321193021,8.06614042906737,6.89154395814982,7.46474610640639e-09,1.65132187485539e-07,9.98531783388749,MICAL2,"microtubule associated monooxygenase, calponin and LIM domain containing 2",9645,Up
3331903,2.07162106888015,5.97916350163675,9.39814679862447,8.70708582288944e-13,7.56027624524426e-11,18.9173150560567,FAM111B,FAM111 trypsin like peptidase B,374393,Up
3332334,1.00049722677684,7.18335952803131,4.04842207423953,0.000172560462230985,0.000928208292806992,0.188785701338667,MS4A14,membrane spanning 4-domains A14,84689,Up
3333247,1.45453646515695,8.64157303596516,4.29605753656255,7.65663051369768e-05,0.000460590582773981,0.968594772535003,FADS2,fatty acid desaturase 2,9415,Up
3336238,1.13479968193919,8.41549974319051,10.3500395327056,3.22892502360523e-14,4.61505640873861e-12,22.1664499282287,DPP3,dipeptidyl peptidase 3,10072,Up
3342426,1.16422849473213,5.80208084967031,7.14469983430468,2.9500148992678e-09,7.62121806898869e-08,10.8994652348627,DDIAS,DNA damage induced apoptosis suppressor,220042,Up
3354799,1.3922514892527,5.91557706449886,8.95573139232785,4.16233499727652e-12,2.90848113095408e-10,17.3734600246508,CHEK1,checkpoint kinase 1,1111,Up
3365776,1.42376633612308,5.94636411286473,8.05179985767309,1.07446886190642e-10,4.64639177198864e-09,14.1654055534592,E2F8,E2F transcription factor 8,79733,Up
3367338,1.49030929676447,4.91728951320034,7.26732605767549,1.882047953414e-09,5.17175499408183e-08,11.3422518038887,KIF18A,kinesin family member 18A,81930,Up
3371225,1.07270909068344,6.57542744570195,4.05580733600639,0.000168477839388368,0.000909294562182494,0.211706215979328,CHST1,carbohydrate sulfotransferase 1,8534,Up
3380697,1.00516829675641,8.02680234035726,5.63426842751288,7.286914970463e-07,8.4639728451114e-06,5.48886175499319,DHCR7,7-dehydrocholesterol reductase,1717,Up
3381317,1.32708620068536,9.13956417025025,6.86043306047684,8.36694836420104e-09,1.81264665791761e-07,9.87301816612875,STARD10,StAR related lipid transfer domain containing 10,10809,Up
3388807,2.04529036970708,5.47177631619263,6.2780013663953,7.05785244765472e-08,1.12572746540093e-06,7.77664534239892,MMP1,matrix metallopeptidase 1,4312,Up
3388859,1.1607735865077,5.32961716801916,4.26461057038425,8.49805520080205e-05,0.000503094924757542,0.868324315795671,MMP12,matrix metallopeptidase 12,4321,Up
3388893,2.13147171504804,6.10568616889048,6.30538044305333,6.38641616074366e-08,1.03589835014096e-06,7.87480227712513,MMP13,matrix metallopeptidase 13,4322,Up
3394412,1.12937666902206,8.64426446697271,5.27400451309521,2.63838485811108e-06,2.55717697542417e-05,4.23257292396491,THY1,Thy-1 cell surface antigen,7070,Up
