"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME","ENTREZID","threshold"
"2405469",-0.0701601873207816,7.94672464850922,-1.44744200946968,0.153791762511628,0.266263938828822,-5.96373178443005,"PHC2","polyhomeotic homolog 2","1912","Not Sig"
"2405576",0.197523057629285,6.41253091288729,2.82537990331097,0.00668934947157248,0.0208554208525187,-3.25076528225603,"CSMD2","CUB and Sushi multiple domains 2","114784","Not Sig"
"2405893",-0.0413828293940597,8.43674715685096,-0.4983670080214,0.620332579900135,0.73555677510003,-6.8765527041025,"SMIM12","small integral membrane protein 12","113444","Not Sig"
"2405992",0.0223928128506063,8.33648427120444,0.364839902128899,0.716714601056569,0.81137710661195,-6.93460253166155,"TMEM35B","transmembrane protein 35B","100506144","Not Sig"
"2406064",-0.0360539940998486,9.68650827657856,-0.43814368260509,0.663101852074768,0.770172279352948,-6.90494146418931,"SFPQ","splicing factor proline and glutamine rich","6421","Not Sig"
"2406139",0.313524360204159,8.33768296210462,2.92228049227684,0.00513727267390958,0.0166705747936641,-3.0082239542602,"KIAA0319L","KIAA0319 like","79932","Not Sig"
"2406245",0.542251714849717,10.3521093677671,5.36113558334041,1.93614329690797e-06,1.96570341827681e-05,4.53436865365731,"PSMB2","proteasome 20S subunit beta 2","5690","Not Sig"
"2406412",0.0251565142033643,6.91655924762487,0.375434693901246,0.708868498346341,0.805681344178932,-6.93064837644838,"C1orf216","chromosome 1 open reading frame 216","127703","Not Sig"
"2406420",0.489723908925287,4.5570503410124,5.93702752427383,2.4413232149458e-07,3.32524537649579e-06,6.55935241831371,"CLSPN","claspin","63967","Not Sig"
"2406579",0.00825333652258564,6.883057145519,0.130910352584509,0.896352757742392,0.936224477377832,-6.99314058156754,"COL8A2","collagen type VIII alpha 2 chain","1296","Not Sig"
