"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0006693","GO:0006693","prostaglandin metabolic process",45,-0.565062507035504,-1.69378848376554,0.00397575844111804,0.0255270252310199,0.0180243702099253,1070,"tags=22%, list=6%, signal=21%","27306/5730/3248/1906/5321/5740/5743/8644/1645/1646"
"GO:0021782","GO:0021782","glial cell development",127,-0.441284398231855,-1.55605573973301,0.00397499835450434,0.0255270252310199,0.0180243702099253,2421,"tags=31%, list=14%, signal=27%","64398/79628/10319/10397/6497/6654/26227/1191/28514/6279/54587/375387/56978/163175/3913/5728/3691/56288/3459/9639/1021/4653/7099/9331/55107/4919/6663/7431/4916/4035/10810/3569/3400/1902/9839/1272/2824/5354/4915"
"GO:0031346","GO:0031346","positive regulation of cell projection organization",339,-0.355038443592895,-1.40073775491051,0.00396806584495546,0.0255270252310199,0.0180243702099253,1992,"tags=18%, list=12%, signal=16%","153090/27185/10435/23566/22902/657/347733/10602/9750/51762/10163/2043/158866/8536/257194/2059/5064/53335/8829/2534/64805/9693/4739/2823/7436/482/79625/653/10178/56963/8837/5176/2260/3655/8850/5587/5997/9037/4916/4131/1902/6376/139818/1946/22871/9839/5295/1272/285016/8322/9353/4921/5764/6387/5649/6366/5168/4915/3815/1756"
"GO:0034765","GO:0034765","regulation of monoatomic ion transmembrane transport",283,-0.370081825010057,-1.43065534604481,0.00398070299732793,0.0255321211017352,0.0180279683518743,2299,"tags=21%, list=13%, signal=18%","6769/30818/5530/2890/775/23327/130507/493/2852/6844/9465/91404/3759/150684/7225/444/51185/5581/5350/2904/1908/3764/3690/30820/817/274/825/2534/7881/482/79026/9472/1193/117/3753/5587/6622/1906/2946/375611/53826/477/3773/7402/130497/6376/5621/342667/845/7220/54997/781/10060/30819/287/5348/857/1756/2273"
"GO:0031645","GO:0031645","negative regulation of nervous system process",19,-0.706752585908359,-1.79388256197518,0.00400282478424545,0.0256472658832227,0.0181092708988999,2243,"tags=47%, list=13%, signal=41%","8898/552/4856/26022/27242/23175/5243/4887/58494"
"GO:0034103","GO:0034103","regulation of tissue remodeling",70,-0.506471332352008,-1.64140239306341,0.00404331195474628,0.0258797209507226,0.0182734050334445,2315,"tags=27%, list=13%, signal=24%","1436/9842/5530/8600/2324/1471/3690/5578/64114/9475/53832/3569/1901/3953/4921/3952/5468/5166/6422"
"GO:0009165","GO:0009165","nucleotide biosynthetic process",217,0.357822999911854,1.41691301646671,0.00411917073356459,0.0263378577777087,0.0185968907393451,3189,"tags=29%, list=18%, signal=24%","6241/4830/4860/3418/8564/3620/7298/1503/3251/83666/142/113278/6391/4833/4695/5471/54209/10606/226/56474/4715/50484/6240/134145/471/4712/4720/5631/516/54539/4704/2618/4706/4700/80308/4702/5634/7371/4696/4716/4701/1633/160728/8833/9556/4728/159/7040/54963/158067/10201/2987/55967/55191/514/790955/272/7372/4832/7415/506/93974/527/51079"
"GO:0010880","GO:0010880","regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum",31,-0.636789693283432,-1.78101776513521,0.00415245881627884,0.0265231299885059,0.0187277095436044,1531,"tags=32%, list=9%, signal=29%","444/5350/817/9472/1193/2946/477/845/287/1756"
"GO:0006241","GO:0006241","CTP biosynthetic process",12,0.759077005940961,1.7244429451596,0.00415848467573873,0.0265340656021462,0.0187354310680258,3061,"tags=67%, list=18%, signal=55%","4830/1503/4833/56474/7371/54963/10201/4832"
"GO:0007616","GO:0007616","long-term memory",36,-0.601395130431631,-1.72250709398808,0.00417664982948632,0.0265947961709838,0.0187783122986385,2310,"tags=36%, list=13%, signal=31%","6446/2890/6863/57030/1813/9867/139411/55902/6517/894/6869/5621/5649"
"GO:0070169","GO:0070169","positive regulation of biomineral tissue development",51,-0.551370735037151,-1.69276258156346,0.00417349434722864,0.0265947961709838,0.0187783122986385,1809,"tags=33%, list=10%, signal=30%","4088/657/650/652/55603/654/154/116039/4057/92/4208/468/3491/9365/130497/2824/5764"
"GO:1902410","GO:1902410","mitotic cytokinetic process",37,0.568768099018844,1.70851536284453,0.00420181037062781,0.0267273377349862,0.0188718985350355,2938,"tags=38%, list=17%, signal=31%","10112/55165/1894/128239/9212/9585/375/23636/51510/382/92421/8766/128866/9110"
"GO:0032204","GO:0032204","regulation of telomere maintenance",105,0.425372569057678,1.5374515086579,0.00425067080393801,0.0270102025981639,0.0190716265083169,4384,"tags=43%, list=25%, signal=32%","4751/22948/142/9212/4931/79035/7203/8607/10576/86/4683/79677/25913/29844/10856/2072/55226/5073/908/54552/1736/23381/55869/23049/6714/286053/10445/51377/11284/84464/7874/7157/5976/5570/197370/5514/10574/3192/10694/65057/51750/3320/26354/545/64282"
"GO:0006505","GO:0006505","GPI anchor metabolic process",31,0.593167606703186,1.72713749756654,0.00427331462733704,0.0270336793084962,0.019088203172245,3494,"tags=58%, list=20%, signal=46%","128869/54965/284098/9091/8818/27315/8813/51604/93183/94005/23556/93210/51227/8733/9488/84720/5283/65258"
